alias,canonical_brand_name
LV,Louis Vuitton
L.V.,Louis Vuitton
Hermès,Hermes
Yeezy,adidas
Air Force,Nike
Air Force 1,Nike
AJ,Air Jordan
AJ1,Air Jordan
Submariner,Rolex
Daytona,Rolex
Datejust,Rolex
GMT-Master,Rolex
Birkin,Hermes
Kelly,Hermes
Speedy,Louis Vuitton
Neverfull,Louis Vuitton
Monogram,Louis Vuitton
Damier,Louis Vuitton
Royal Oak,Audemars Piguet
Nautilus,Patek Philippe
Constellation,OMEGA
Seamaster,OMEGA
Speedmaster,OMEGA
Boost,adidas
Stan Smith,adidas
Superstar,adidas
Jumpman,Air Jordan
Iphone,Apple
iPhone,Apple
iPad,Apple
MacBook,Apple
AirPods,Apple
Mickey,Disney
Mickey Mouse,Disney
Minnie,Disney
Frozen,Disney
Star Wars,Disney
Marvel Studios,Disney
Jordan Brand,Air Jordan
NMD,adidas
Ultraboost,adidas
